title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Jikkyou Powerful Pro Baseball 2016,PS4,Sports,Konami Digital Entertainment,Konami Digital Entertainment,,0.24,,0.24,,,2016-04-28,
Nickelodeon Dance,Wii,Sports,2K Play,High Voltage Software,,0.24,0.21,,0.01,0.02,2011-11-08,
Virtua Tennis 4,X360,Sports,Sega,Sega-AM2,6.5,0.24,0.12,0.01,0.09,0.02,2011-05-10,
Tiger Woods PGA Tour 10,PSP,Sports,EA Sports,EA Tiburon,8.1,0.24,0.12,,0.07,0.05,2009-06-08,
FIFA World Cup Germany 2006,XB,Sports,EA Sports,EA Canada,7.8,0.24,0.18,,0.05,0.01,2006-04-24,
Mega Man X Collection,PS2,Misc,Capcom,Capcom,7.5,0.24,0.12,,0.09,0.03,2006-01-10,
Britney's Dance Beat,PS2,Misc,THQ,Metro Graphics,,0.24,0.12,,0.09,0.03,2002-05-08,
Dreamcast Collection,X360,Misc,Sega,Sega,5.3,0.24,0.16,,0.06,0.02,2011-02-22,
Just Dance 2017,PS4,Misc,Ubisoft,Ubisoft Paris,,0.24,0.08,,0.12,0.04,2016-10-25,2018-04-06
Pictionary: Ultimate Edition,PS3,Misc,THQ,Page 44 Studios,,0.24,0.15,,0.06,0.04,2011-11-15,
Killer is Dead,PS3,Action,Xseed Games,Grasshopper Manufacture,,0.24,0.12,0.05,0.04,0.03,2013-08-27,2018-08-20
Darksiders II: Deathinitive Edition,PS4,Action-Adventure,Nordic Games,Gunfire Games,7.5,0.24,0.1,,0.1,0.04,2015-10-30,2018-10-02
We Love Golf!,Wii,Sports,Capcom,Camelot Software Planning,,0.24,0.19,0.03,0,0.02,2008-07-15,
Pro Yakyuu Spirits 2010,PSP,Sports,Konami,PawaPuro Production,,0.24,,0.24,,,2010-04-01,
Jikkyou Powerful Pro Yakyuu 15,PS2,Sports,Konami,PawaPuro Production,,0.24,,0.24,,,2008-07-24,
NCAA College Basketball 2K3,PS2,Sports,Sega,Kush Games,,0.24,0.12,,0.09,0.03,2002-12-02,
NCAA March Madness 2004,XB,Sports,EA Sports,NuFX,,0.24,0.18,,0.05,0.01,2003-11-17,
Cabela's Outdoor Adventures (2009),X360,Sports,Activision,Activision,,0.24,0.23,,,0.02,2009-09-08,
Jikkyou Powerful Pro Yakyuu 2001,PS,Sports,Konami,Diamond Head,,0.24,,0.23,,0.02,2001-06-07,
Gallop Racer (JP),PS,Sports,Tecmo,Tecmo,,0.24,0.04,0.16,0.03,0.02,1996-09-27,
MLB,PSP,Sports,Sony Computer Entertainment,989 Sports,8,0.24,0.23,,,0.02,2005-04-12,
Pro Yakyuu Spirits 2011,PSP,Sports,Konami,PawaPuro Production,,0.24,,0.24,,,2011-04-14,
Pure Futbol,PS3,Sports,Ubisoft,Ubisoft Vancouver,4,0.24,0.06,,0.13,0.04,2010-06-01,
NBA Live 14,XOne,Sports,EA Sports,EA Tiburon,,0.24,0.19,,0.02,0.02,2013-11-22,2018-10-19
Grand Slam Tennis 2,PS3,Sports,EA Sports,EA Sports,,0.24,0.09,,0.1,0.04,2012-02-14,
World Soccer Winning Eleven 7,PS2,Sports,Konami,KCET,,0.24,0.12,,0.09,0.03,2003-08-07,
Namco Tennis Smash Court,PS,Sports,Sony Computer Entertainment,Namco,,0.24,,0.23,,0.02,1996-01-01,
NBA Live 10,PSP,Sports,EA Sports,EA Canada,5.9,0.24,0.21,0.01,0,0.02,2009-10-06,
NBA Live 18,PS4,Sports,EA Sports,EA Sports,,0.24,0.2,,,0.05,2017-09-15,2018-05-30
Loving Life with Hello Kitty & Friends,DS,Misc,CokeM Interactive,Rising Star Games,,0.24,0.13,,0.08,0.03,2011-10-18,
Ready 2 Rumble Boxing: Round 2,N64,Fighting,Midway Games,Point of View,6.9,0.24,0.19,,0.05,0,2000-11-13,
Street Fighter 30th Anniversary Collection,PS4,Fighting,Capcom,Capcom,,0.24,0.11,0.02,0.07,0.04,2018-05-29,2018-11-07
Street Fighter Alpha Anthology,PS2,Fighting,Capcom,Capcom Production Studio 2,,0.24,0.11,0.02,0.08,0.03,2006-06-13,
Dora the Explorer: Journey to the Purple Planet,PS2,Education,Global Star Software,Monkey Bar Games,,0.24,0.12,,0.09,0.03,2006-02-09,2022-03-11
The Testament of Sherlock Holmes,PS3,Adventure,Focus Home Interactive,Frogwares,,0.24,0.05,,0.15,0.04,2012-09-30,
Imagine: Teacher Class Trip,DS,Adventure,Ubisoft,Ubisoft,,0.24,0.1,,0.12,0.02,2009-08-25,
Lego Star Wars: The Force Awakens,X360,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,0.24,0.08,,0.14,0.02,2016-06-28,2018-03-31
K-1 Revenge,PS,Fighting,Jaleco,Xing Entertainment,,0.24,0.04,0.16,0.03,0.02,1999-02-28,
Dragon Ball Z: Sagas,XB,Fighting,Atari,Avalanche Software,,0.24,0.18,,0.05,0.01,2005-03-22,
That's So Raven: Psychic on the Scene,DS,Adventure,Buena Vista,Handheld Games,,0.24,0.23,,,0.02,2006-11-02,
The Adventures of Tintin: The Game,X360,Adventure,Ubisoft,Ubisoft,5,0.24,0.07,,0.14,0.03,2011-12-06,
The Hobbit,XB,Adventure,Sierra Entertainment,Midway Studios - Austin,,0.24,0.18,,0.05,0.01,2003-11-11,
Harry Potter and the Order of the Phoenix,PS3,Adventure,Electronic Arts,EA Games,,0.24,0.18,,0.04,0.02,2007-06-25,
Dora the Explorer: Super Star Adventures,GBA,Adventure,Global Star Software,ImaginEngine,,0.24,0.17,,0.06,0,2004-11-29,
Checkers,2600,Misc,Atari,Activision,,0.24,0.22,,0.01,0,1980-07-01,
Corvette,XB,Racing,TDK Mediactive,Steel Monkeys,,0.24,0.18,,0.05,0.01,2003-12-10,
Burnout 2: Point of Impact,XB,Racing,Acclaim Entertainment,Criterion Games,,0.24,0.18,,0.05,0.01,2003-05-01,
The Simpsons: Road Rage,GC,Racing,Electronic Arts,Radical Entertainment,6,0.24,0.19,,0.05,0.01,2001-12-17,
PGA Tour 96,PS,Sports,EA Sports,EA Sports,,0.24,0.13,,0.09,0.02,1995-09-01,
Amazing Adventures: The Forgotten Ruins,DS,Adventure,PopCap Games,Black Lantern Studios,,0.24,0.13,,0.08,0.02,2008-11-11,
Classic NES Series: The Legend of Zelda,GBA,Adventure,Nintendo,Nintendo EAD,8.4,0.24,,0.24,,,2004-06-02,
Danganronpa: Trigger Happy Havoc,PSP,Adventure,Unknown,Spike,,0.24,,0.24,,,,2018-01-11
Luminous Arc,DS,Role-Playing,Atlus,imageepoch Inc.,6.8,0.24,0.16,0.06,0,0.01,2007-08-14,
Avalon Code,DS,Role-Playing,Marvelous Interactive,Matrix Software,7.1,0.24,0.11,0.12,0,0.01,2009-03-10,
Digimon World: Next Order,PS4,Role-Playing,Namco Bandai Games,Bandai Namco Games,,0.24,0.13,0.02,0.05,0.04,2017-01-31,2018-04-21
Shadow Hearts: Covenant,PS2,Role-Playing,Midway Games,Nautilus,8.1,0.24,0.12,,0.09,0.03,2004-09-27,
Lucky Luke,PS,Action,Infogrames,Ocean,,0.24,0.13,,0.09,0.02,1998-11-01,
NASCAR 08,PS2,Racing,EA Sports,EA Tiburon,,0.24,0.12,,0.09,0.03,2007-07-23,
SRS: Street Racing Syndicate,XB,Racing,Namco,Eutechnyx,,0.24,0.18,,0.05,0.01,2004-08-31,
Fuel,PS3,Racing,Codemasters,Asobo Studio,6.6,0.24,0.08,0,0.11,0.04,2009-06-02,2020-08-05
Ride,PS4,Racing,Milestone S.r.l.,Milestone S.r.l.,,0.24,0.04,0.03,0.13,0.03,2015-06-23,2018-04-24
Catz,GBA,Simulation,Ubisoft,MTO,,0.24,0.18,,0.06,0,2006-03-22,
Guitar Freaks,PS,Simulation,Konami,Konami,,0.24,,0.23,,0.02,1999-07-29,
Harvest Moon: Magical Melody,GC,Simulation,Natsume,Marvelous Interactive,8,0.24,0.19,,0.05,0.01,2006-03-28,
Birds of Steel,PS3,Simulation,Konami Digital Entertainment,Gaijin Games,,0.24,0.1,0.02,0.09,0.03,2012-03-13,2018-10-29
Imagine: Zookeeper,DS,Simulation,Ubisoft,Magic Pockets,,0.24,0.15,,0.06,0.02,2009-10-06,
Farming Simulator 2015,XOne,Simulation,Focus Home Interactive,Giants Software,,0.24,0.13,,0.09,0.02,2015-05-19,2018-04-11
Paws & Claws: Pet Resort,DS,Simulation,THQ,ValuSoft,,0.24,0.22,,,0.02,2008-02-05,
Dance Dance Revolution: Disney Channel Edition,PS2,Simulation,Konami,Keen Games,,0.24,0.12,,0.09,0.03,2008-01-08,
Are You Smarter than a 5th Grader? Game Time,DS,Puzzle,THQ,THQ,,0.24,0.22,,,0.02,2009-10-26,
Army Men: Air Combat,N64,Action,3DO,3DO,7.6,0.24,0.19,,0.05,0,2000-07-14,
Paperboy,N64,Action,Midway Games,High Voltage Software,8,0.24,0.19,,0.05,0,1999-10-31,
Army Men: Sarge's Heroes 2,PS,Action,3DO,3DO,,0.24,0.14,,0.09,0.02,2000-11-21,
Hello Neighbor,NS,Action,Gearbox Software,Dynamic Pixels,,0.24,0.12,,0.1,0.02,2018-07-27,2018-11-06
Genma Onimusha,XB,Action,Capcom,Capcom,,0.24,0.14,0.05,0.04,0.01,2002-01-28,
G-Police,PS,Action,Sony Computer Entertainment,Wheelhaus,,0.24,0.13,,0.09,0.02,1997-09-30,
Dynasty Warriors 7,X360,Action,Tecmo Koei,Omega Force,5.9,0.24,0.16,,0.06,0.02,2011-03-22,
Command & Conquer 3: Kane's Wrath,X360,Strategy,Electronic Arts,EA Los Angeles,7,0.24,0.16,,0.06,0.02,2008-06-23,
Lunar: Silver Star Harmony,PSP,Role-Playing,Xseed Games,Game Arts,7.9,0.24,0.19,0.03,,0.02,2010-03-02,
Game of Thrones,PS3,Role-Playing,Atlus,Cyanide Studios,,0.24,0.1,,0.11,0.04,2012-05-15,
Just Dance 2019,Wii,Music,Ubisoft,Ubisoft Paris,,0.24,0.1,,0.12,0.02,2018-10-23,2018-09-28
The Elder Scrolls Online: Morrowind,PS4,MMO,Bethesda Softworks,ZeniMax Online Studios,,0.24,0.11,,0.09,0.04,2017-06-06,2018-09-15
Valhalla Knights,PSP,Role-Playing,Xseed Games,K2 LLC,5.2,0.24,0.15,0.07,0,0.01,2007-04-17,
Front Mission: Gun Hazard,SNES,Role-Playing,Square,Omiya Soft,,0.24,,0.24,,,1996-02-23,
Tales of Hearts,DS,Role-Playing,Namco Bandai,Namco Tales Studio,,0.24,,0.24,,,2008-12-18,
Final Fantasy XI: Treasures of Aht Urhgan,PS2,Role-Playing,Square Enix,Square Enix,,0.23,0.06,0.1,0.05,0.02,2006-04-18,
Digimon World DS (JP sales),DS,Role-Playing,Namco Bandai,Namco Bandai Games America,,0.23,,0.23,,,2006-11-07,
Risen 2: Dark Waters,PS3,Role-Playing,Deep Silver,Piranha Bytes,5.5,0.23,0.04,0.01,0.14,0.03,2012-07-31,2018-01-03
Lunar: Silver Star Story,SAT,Role-Playing,Kadokawa Shoten,Kadokawa Shoten,,0.23,,0.23,,0,1996-10-25,
Soul Sacrifice Delta,PSV,Role-Playing,Sony Computer Entertainment,SCE Japan Studio,,0.23,0,0.12,0.08,0.02,2014-05-13,2018-09-16
Mega Man Battle Network 5: Team Colonel / Protoman,GBA,Role-Playing,Capcom,Capcom,,0.23,0.16,,0.06,0,2004-12-09,
Jeremy McGrath Supercross World,PS2,Racing,Acclaim Entertainment,Acclaim Entertainment,,0.23,0.11,,0.09,0.03,2001-11-15,
DiRT Showdown,X360,Racing,Codemasters,Codemasters,,0.23,0.08,,0.13,0.02,2012-06-12,2018-10-29
M&M's Kart Racing,Wii,Racing,DSI Games,FrontLine Studios,,0.23,0.21,,,0.02,2007-10-25,
Genji: Dawn of the Samurai,PS2,Action,Sony Computer Entertainment,Game Republik,,0.23,0.11,,0.09,0.03,2005-09-20,
Attack on Titan 2,NS,Action,Koei Tecmo,Omega Force,7,0.23,0.12,0.08,0.02,0.02,2018-03-20,2018-03-30
Super Robot Taisen D,GBA,Strategy,Banpresto,Banpresto,,0.23,,0.23,,0.01,2003-08-08,
Hatsune Miku: Project Mirai 2,3DS,Music,Sega,Sega,,0.23,,0.23,,,2015-05-26,2018-10-29
DC Universe Online,PC,MMO,Sony Online Entertainment,WBIE,7,0.23,0.16,,0.06,0.02,2011-01-11,2018-09-15
.hack//G.U. Vol.2//Reminisce,PS2,Role-Playing,Namco Bandai,CyberConnect2,6.2,0.23,0.11,,0.09,0.03,2007-05-08,
DiRT 4,XOne,Racing,Deep Silver,Codemasters,9.2,0.23,0.11,,0.1,0.02,2017-06-06,2018-11-23
Elex,PS4,Role-Playing,THQ Nordic,Piranha Bytes,,0.23,0.03,,0.16,0.04,2017-10-17,2018-06-30
Tony Hawk's Downhill Jam,Wii,Sports,Activision,Toys for Bob,,0.23,0.21,,0,0.02,2006-11-14,
Shaun White Snowboarding,DS,Sports,Ubisoft,Ubisoft Montreal,6.2,0.23,0.21,,0,0.02,2008-11-16,
NHL FaceOff 2001,PS,Sports,Sony Computer Entertainment,SolWorks,7.2,0.23,0.13,,0.09,0.02,2000-09-05,
Mega Man & Bass,GBA,Platform,Capcom,Capcom,,0.23,0.16,,0.06,0,2003-03-10,
Shinobi,3DS,Platform,Sega,Griptonite Games,7,0.23,0.14,,0.07,0.02,2011-11-15,
Jersey Devil,PS,Platform,Sony Computer Entertainment,Behaviour Interactive Inc.,,0.23,0.13,,0.09,0.01,1998-05-31,
Skylanders Imaginators,NS,Platform,Activision,Toys for Bob,6.9,0.23,0.1,,0.1,0.02,2017-03-03,2018-03-26
Pro Yakyuu Team o Tsukurou!,DC,Sports,Sega,Smilebit,,0.23,,0.23,,0,1999-08-05,
Ashes Cricket 2009,Wii,Sports,Codemasters,Gusto Games,,0.23,,,0.23,0.01,2009-08-07,
World Series Baseball,XB,Sports,Sega,Blueshift,,0.23,0.17,,0.05,0.01,2002-05-19,
NBA ShootOut 2003,PS2,Sports,Sony Computer Entertainment,989 Sports,,0.23,0.11,,0.09,0.03,2002-09-25,
NHL FaceOff 2003,PS2,Sports,Sony Computer Entertainment,989 Sports,,0.23,0.11,,0.09,0.03,2002-11-05,
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,Sports,Sega,Eurocom Entertainment Software,5,0.23,0.08,,0.13,0.02,2010-01-12,
Family Party: 30 Great Games Winter Fun,Wii,Sports,D3 Publisher,Tamsoft Corporation,,0.23,0.21,,0,0.02,2010-02-08,
Saka-Tsuku DS: Touch and Direct,DS,Sports,Sega,Sega,,0.23,,0.23,,,2008-11-20,
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,Sports,Konami,Konami,,0.23,,0.23,,,2010-05-20,
NFL Blitz Pro,PS2,Sports,Midway Games,Point of View,,0.23,0.11,,0.09,0.03,2003-10-28,
Tiger Woods PGA Tour 2003,GC,Sports,EA Sports,EA Redwood Shores,,0.23,0.18,,0.05,0.01,2002-10-27,
AKB1/149: Love Election,PSP,Simulation,Namco Bandai Games,ArtDink,,0.23,,0.23,,,2012-12-20,2018-10-29
Rune Factory: Tides of Destiny,PS3,Simulation,Natsume,Neverland Company,6.5,0.23,0.14,0.07,,0.02,2011-10-11,
I Love Horses,DS,Simulation,Bold Games,LvivMedia,,0.23,0.21,,0,0.01,2009-04-27,
Love Plus +,DS,Simulation,Konami,Konami,,0.23,,0.23,,,2010-06-24,
Hotel for Dogs,DS,Simulation,505 Games,Paramount Interactive,,0.23,0.22,,0,0.02,2009-01-06,
Harvest Moon GB,GB,Simulation,Natsume,Victor Interactive Software,,0.23,,0.23,,0,1998-08-01,
Colony Wars: Vengeance,PS,Simulation,Psygnosis,Psygnosis,8.6,0.23,0.13,,0.09,0.02,1998-11-04,
Harvest Moon: The Land of Origin,3DS,Simulation,Marvelous,Marvelous,,0.23,,0.23,,,2012-02-23,2018-10-29
What's Cooking? Jamie Oliver,DS,Simulation,Atari,Keen Games,,0.23,0.2,,0.01,0.02,2008-10-21,
Hooked! Real Motion Fishing,Wii,Sports,Aksys Games,SIMS,,0.23,0.21,,0,0.02,2007-10-30,
Looney Tunes: Acme Arsenal,Wii,Action,Warner Bros. Interactive,Red Tribe,,0.23,0.21,,0.01,0.02,2007-10-09,
Madden NFL 06,GBA,Sports,EA Sports,Exient Entertainment,,0.23,0.17,,0.06,0,2005-08-08,
Major League Baseball 2K10,PS2,Sports,2K Sports,Visual Concepts,,0.23,0.11,,0.09,0.03,2010-03-02,
SSX on Tour,PSP,Sports,EA Sports BIG,EA Montreal,8.2,0.23,0.19,,0.02,0.02,2005-10-11,
Madden NFL 13,WiiU,Sports,EA Sports,EA Tiburon,7.2,0.23,0.21,,,0.02,2012-11-18,2018-01-04
Airblade,PS2,Sports,Namco,Criterion Games,,0.23,0.11,,0.09,0.03,2002-01-28,
Tony Hawk's Pro Skater 5,PS4,Sports,Activision,Robomodo,,0.23,0.11,,0.08,0.04,2015-09-29,2018-04-15
Let's Make a Soccer Team!,PS2,Sports,Sega,Smilebit,,0.23,,0.23,,,2006-08-25,
All-Star Baseball 2001,N64,Sports,Acclaim Entertainment,High Voltage Software,9.2,0.23,0.22,,0.01,0,2000-02-29,
ESPN NHL Hockey,PS2,Sports,Sega,Kush Games,,0.23,0.11,,0.09,0.03,2003-09-09,
NCAA GameBreaker 2003,PS2,Sports,Sony Computer Entertainment,989 Sports,,0.23,0.11,,0.09,0.03,2002-08-14,
NCAA Football 09,PSP,Sports,EA Sports,Team Fusion,6.5,0.23,0.21,,,0.02,2008-07-15,
Tony Hawk's Proving Ground,DS,Sports,Activision,Unknown,,0.23,0.2,,0.01,0.02,2007-10-15,
NCAA GameBreaker 2004,PS2,Sports,Sony Computer Entertainment,989 Sports,,0.23,0.11,,0.09,0.03,2003-08-27,
Hot Shots Tennis: Get a Grip,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8,0.23,0.08,0.13,0,0.02,2010-06-29,
WWE 2K18,NS,Sports,2K Sports,Yuke's,,0.23,0.14,,0.08,0.02,2017-12-05,
Cabela's Outdoor Adventures (2009),PS3,Sports,Activision,Activision,,0.23,0.21,,,0.02,2009-09-08,
Madden NFL 12,PSP,Sports,EA Sports,EA Tiburon,,0.23,0.21,,,0.02,2011-08-30,
Pro Yakyuu Team o Tsukurou! 2,PS2,Sports,Sega,Smilebit,,0.23,,0.23,,,2003-02-13,
Bass Pro Shops: The Hunt,Wii,Sports,XS Games,Piranha Games,,0.23,0.21,,,0.02,2010-06-01,
Deca Sports 3,Wii,Sports,Hudson Soft,Hudson Soft,,0.23,0.14,,0.07,0.02,2010-10-26,
Tribes: Aerial Assault,PS2,Shooter,Sierra Entertainment,Midway Studios Austin,,0.23,0.11,,0.09,0.03,2002-09-23,
Transformer: Rise of the Dark Spark,PS4,Shooter,Activision,Edge of Reality,,0.23,0.08,0.01,0.11,0.04,2014-06-24,2018-12-27
Freedom Fighters,XB,Shooter,Electronic Arts,IO Interactive,,0.23,0.17,,0.05,0.01,2003-10-01,
Soldier of Fortune II: Double Helix,XB,Shooter,Activision,Gratuitous Games,,0.23,0.17,,0.05,0.01,2003-06-18,
Harry Potter and the Goblet of Fire,DS,Adventure,Electronic Arts,Magic Pockets,,0.23,0.2,,0.01,0.02,2005-11-08,
Harry Potter and the Goblet of Fire,XB,Adventure,Electronic Arts,Electronic Arts,6.7,0.23,0.18,,0.05,0.01,2005-11-08,
Megamind: Mega Team Unite,Wii,Adventure,THQ,THQ Australia Studios Pty Ltd.,,0.23,0.15,,0.06,0.02,2010-11-02,
Naruto: Path of the Ninja 2,DS,Role-Playing,D3 Publisher,TOSE,,0.23,0.22,,,0.02,2008-10-15,
Sands of Destruction,DS,Role-Playing,Sega,imageepoch Inc.,6.5,0.23,0.09,0.13,,0.01,2010-01-12,
Cross Edge,PS3,Role-Playing,NIS America,Compile Heart,5.4,0.23,0.14,0.05,0.02,0.02,2009-05-26,
Monster Hunter G,PS2,Role-Playing,Capcom,Capcom,,0.23,,0.23,,,2005-01-20,
The Lord of the Rings: Aragorn's Quest,Wii,Action,Warner Bros. Interactive,Headstrong Games,6.4,0.23,0.17,,0.05,0.02,2010-09-14,
Buffy the Vampire Slayer,XB,Action,Electronic Arts,Double Helix Games,,0.23,0.18,,0.05,0.01,2002-08-18,
Dynasty Warriors Gundam Reborn,PS3,Action,Namco Bandai Games,Omega Force,,0.23,,0.23,,,2014-07-01,2018-10-29
The Raiden Project,PS,Shooter,Sony Computer Entertainment,Seibu Kaihatsu Inc.,,0.23,0.06,0.12,0.04,0.01,1995-01-26,
Star Wars Jedi Knight II: Jedi Outcast,GC,Shooter,LucasArts,Vicarious Visions,7.1,0.23,0.18,,0.05,0.01,2002-11-20,
Tom Clancy's Rainbow Six: Rogue Spear,PS,Shooter,Red Storm Entertainment,Saffire Corporation,,0.23,0.13,,0.09,0.02,2001-03-28,
Super R-Type,SNES,Shooter,Irem Software Engineering,Irem Software Engineering,,0.23,,0.23,,,1991-09-01,
BlowOut,PS2,Shooter,Majesco,Terminal Reality,,0.23,0.11,,0.09,0.03,2003-11-10,
Payday 2,XOne,Shooter,505 Games,Overkill Software,,0.23,0.14,,0.07,0.02,2015-06-16,2018-01-08
The Club,PS3,Shooter,Sega,Bizarre Creations,,0.23,0.14,,0.07,0.03,2008-02-19,
Spec Ops: The Line,PC,Shooter,2K Games,Yager Development,,0.23,0.12,,0.09,0.02,2012-06-26,
Madagascar: Escape 2 Africa,PS3,Action,Activision,Toys for Bob,,0.23,0.12,,0.08,0.03,2008-11-04,
RIGS: Mechanized Combat League,PS4,Action,Sony Interactive Entertainment,Guerrilla Cambridge,,0.23,0.11,0.02,0.06,0.04,2016-10-13,2018-11-27
Wallace & Gromit in Project Zoo,PS2,Platform,BAM! Entertainment,Frontier Developments,,0.23,0.11,,0.09,0.03,2003-10-07,
Rocket Power: Beach Bandits,GC,Platform,THQ,Evolution Games,,0.23,0.18,,0.05,0.01,2002-09-24,
Skylanders: SuperChargers Racing,Wii,Action-Adventure,Activision,Beenox,,0.23,0.07,,0.15,0.02,2015-09-20,2018-04-06
LEGO The Hobbit,WiiU,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.23,0.09,,0.11,0.02,2014-04-08,2018-03-15
Hannah Montana: The Movie,PS3,Adventure,Disney Interactive Studios,n-Space,,0.23,0.14,,0.06,0.03,2009-04-07,
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,Adventure,Namco Bandai,Bandai Namco Games,,0.23,,0.23,,,2009-02-19,
Disney Princess: Enchanted Journey,PS2,Adventure,Disney Interactive Studios,Papaya Studios,,0.23,0.11,,0.09,0.03,2007-10-16,
The Polar Express,PS2,Adventure,THQ,Blue Tongue,,0.23,0.11,,0.09,0.03,2004-11-02,
Mobile Suit Gundam: Climax U.C.,PS2,Action,Bandai,Bandai,,0.23,,0.23,,,2006-03-02,
Sherlock Holmes and the Mystery of Osborne House,DS,Adventure,THQ,Frogwares,,0.23,0.07,,0.14,0.03,2011-01-04,
Corpse Party: Blood Drive,PSV,Adventure,Xseed Games,Team GrisGris,,0.23,0.11,0.06,0.01,0.04,2015-10-13,2018-10-29
Hello Kitty Seasons,Wii,Adventure,Zoo Games,Sanrio Digital,,0.23,0.15,,0.06,0.02,2010-11-16,
Buzz! Junior: RoboJam,PS2,Misc,Sony Computer Entertainment,Cohort Studios,,0.23,0.11,,0.09,0.03,2008-03-11,
Rock Band Country Track Pack,X360,Misc,MTV Games,Harmonix Music Systems,,0.23,0.22,,,0.02,2009-07-21,
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,Harmonix Music Systems,6.7,0.23,0.21,,0,0.02,2008-11-16,
Karaoke Revolution Volume 2,PS2,Misc,Konami,Harmonix Music Systems,,0.23,0.11,,0.09,0.03,2004-07-13,
3rd Super Robot Wars Z Jigoku Hen,PS3,Misc,Namco Bandai Games,Unknown,,0.23,,0.23,,,2014-04-10,
Puss in Boots,X360,Misc,THQ,THQ,,0.23,0.2,,0.02,0.02,2011-10-25,
Rock Band Track Pack Volume 2,Wii,Misc,MTV Games,Harmonix Music Systems,,0.23,0.2,,0.02,0.02,2008-11-17,
Yu-Gi-Oh! GX: Duel Academy,GBA,Misc,Konami,Konami,,0.23,0.17,,0.06,0,2006-01-10,
Ultimate Band,DS,Misc,Disney Interactive Studios,Fall Line Studio,,0.23,0.19,,0.02,0.02,2008-11-18,
Pinball Hall of Fame: The Gottlieb Collection,PSP,Misc,Crave Entertainment,FarSight Studios,7.2,0.23,0.2,,0.01,0.02,2005-12-06,
New Carnival Games,DS,Misc,2K Games,Cat Daddy Games,,0.23,0.16,,0.05,0.02,2010-09-21,
Bicycle Casino 2005,XB,Misc,Activision,Leaping Lizard Software Inc.,,0.23,0.17,,0.05,0.01,2004-10-26,
Barbie as The Island Princess,GBA,Adventure,Activision,Human Soft / Ivolgamus,5.5,0.23,0.16,,0.06,0,2007-10-30,
Pitfall: The Big Adventure,Wii,Adventure,Activision,Edge of Reality,,0.23,0.19,,0.02,0.02,2008-09-23,
No Man's Sky,XOne,Action-Adventure,505 Games,Hello Games,,0.23,0.17,,0.04,0.02,2018-07-24,2018-04-04
Viva Pinata: Party Animals,X360,Misc,Microsoft Game Studios,Krome Studios,5.5,0.23,0.19,,0.02,0.02,2007-10-30,
Big Family Games,Wii,Misc,THQ,THQ,,0.23,,,0.22,0.02,2009-05-22,
Zumba Fitness: World Party,Wii,Misc,Majesco Entertainment,Zoe Mode,,0.23,0.11,,0.11,0.02,2013-11-05,2018-04-01
Wipeout 2,3DS,Misc,Activision,Endemol,,0.23,0.22,,,0.02,2011-10-11,
Rock Band Track Pack Volume 1,Wii,Misc,MTV Games,Harmonix Music Systems,,0.23,0.17,,0.04,0.02,2008-07-15,
Carnival Island,PS3,Misc,Sony Computer Entertainment,Magic Pixel Games,,0.23,0.13,,0.06,0.04,2011-11-15,
Bratz: Girlz Really Rock,PS2,Action,THQ,Blitz Games,,0.23,0.11,,0.09,0.03,2008-10-13,
Rampage 2: Universal Tour,PS,Action,Midway Games,Avalanche Software,,0.23,0.13,,0.09,0.01,1999-03-31,
Saint Seiya: Sanctuary Battle,PS3,Action,Namco Bandai Games,Dimps Corporation,,0.23,,0.11,0.09,0.02,2012-05-16,
Dead Island Definitive Collection,PS4,Action,Deep Silver,Techland,,0.23,0.09,0.03,0.08,0.03,2016-05-31,
Rogue Ops,PS2,Action,Kemco,Bits Studios,,0.23,0.11,,0.09,0.03,2003-10-29,
Perfect Weapon,PS,Action,ASC Games,Gray Matter Inc.,,0.23,0.13,,0.09,0.02,1996-11-01,
NBA 2K6,X360,Action,2K Sports,Unknown,8,0.23,0.21,,0.01,0.02,2005-11-16,
Mafia,XB,Action,Gathering of Developers,Illusion Softworks,,0.23,0.17,,0.05,0.01,2004-03-13,
Dynasty Warriors: Strikeforce,X360,Action,Tecmo Koei,Omega Force,7.3,0.23,0.13,0.02,0.06,0.02,2010-02-16,
Critical Depth,PS,Action,GT Interactive,SingleTrac,,0.23,0.13,,0.09,0.01,1997-10-31,
The Scorpion King: Rise of the Akkadian,PS2,Action,Universal Interactive,Point of View,,0.23,0.11,,0.09,0.03,2002-09-10,
WWE All Stars,3DS,Action,THQ,THQ,7,0.23,0.15,,0.06,0.02,2011-11-22,
Tom Clancy's Splinter Cell,GC,Action,Ubisoft,Ubisoft,,0.23,0.18,,0.05,0.01,2003-04-10,
The Incredible Hulk: Ultimate Destruction,XB,Action,VU Games,Radical Entertainment,,0.23,0.17,,0.05,0.01,2005-08-23,
Spider-Man: Edge of Time,PS3,Action,Activision,Beenox,,0.23,0.13,,0.07,0.03,2011-10-04,
